               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033594,             0.01966,           0.0063818,             0.91656,             0.84689,             0.91436,             0.60274,            0.024877,            0.013067,           0.0046261,            0.008845,            0.008845,            0.008845
                  37,            0.033713,            0.019641,           0.0064304,             0.91671,             0.84817,             0.91438,             0.60288,            0.024863,            0.013059,           0.0046293,            0.008812,            0.008812,            0.008812
                  38,            0.033566,            0.019545,           0.0062743,             0.91773,             0.84745,             0.91423,             0.60307,            0.024846,            0.013053,           0.0046246,            0.008779,            0.008779,            0.008779
                  39,            0.033537,            0.019534,           0.0063335,             0.91809,             0.84738,             0.91434,             0.60331,            0.024831,            0.013047,           0.0046217,            0.008746,            0.008746,            0.008746
                  40,             0.03344,              0.0196,           0.0062343,             0.91802,              0.8473,             0.91419,             0.60373,            0.024818,            0.013043,           0.0046244,            0.008713,            0.008713,            0.008713
                  41,            0.033503,            0.019504,           0.0062738,             0.91662,              0.8482,             0.91387,             0.60389,              0.0248,            0.013038,           0.0046302,             0.00868,             0.00868,             0.00868
                  42,            0.033466,             0.01954,           0.0062324,             0.91666,             0.84778,             0.91378,             0.60404,            0.024781,            0.013031,           0.0046333,            0.008647,            0.008647,            0.008647
                  43,            0.033334,            0.019415,           0.0062382,             0.91745,             0.84814,             0.91394,             0.60408,            0.024765,            0.013027,           0.0046349,            0.008614,            0.008614,            0.008614
                  44,            0.033266,            0.019389,           0.0062262,             0.91739,             0.84789,             0.91391,              0.6044,            0.024754,             0.01302,           0.0046333,            0.008581,            0.008581,            0.008581
                  45,            0.033225,            0.019387,           0.0062488,             0.91796,              0.8474,             0.91437,             0.60492,            0.024738,            0.013013,            0.004631,            0.008548,            0.008548,            0.008548
                  46,            0.033274,            0.019382,           0.0061952,             0.91749,             0.84753,             0.91402,             0.60498,            0.024721,            0.013007,           0.0046327,            0.008515,            0.008515,            0.008515
                  47,            0.033351,            0.019403,            0.006137,             0.91805,             0.84782,             0.91411,             0.60527,            0.024703,            0.013001,           0.0046274,            0.008482,            0.008482,            0.008482
                  48,            0.033093,            0.019354,           0.0061886,             0.91845,             0.84732,             0.91434,             0.60585,            0.024678,            0.012995,           0.0046253,            0.008449,            0.008449,            0.008449
                  49,            0.033182,            0.019355,           0.0061832,              0.9183,             0.84735,             0.91437,             0.60577,             0.02466,            0.012991,           0.0046307,            0.008416,            0.008416,            0.008416
                  50,            0.033066,            0.019449,           0.0061147,             0.91907,             0.84754,             0.91459,             0.60612,            0.024645,            0.012984,            0.004625,            0.008383,            0.008383,            0.008383
                  51,            0.033132,            0.019384,           0.0061073,              0.9199,             0.84717,             0.91452,             0.60646,            0.024631,            0.012977,           0.0046373,             0.00835,             0.00835,             0.00835
                  52,            0.032982,            0.019302,           0.0060743,                0.92,               0.847,             0.91441,             0.60677,            0.024622,            0.012971,           0.0046328,            0.008317,            0.008317,            0.008317
                  53,            0.033136,            0.019321,           0.0061204,              0.9202,             0.84832,             0.91488,             0.60673,            0.024616,            0.012968,           0.0046297,            0.008284,            0.008284,            0.008284
                  54,            0.032977,            0.019337,           0.0061208,             0.92032,             0.84788,             0.91461,             0.60676,            0.024607,            0.012965,           0.0046266,            0.008251,            0.008251,            0.008251
                  55,             0.03294,            0.019253,           0.0059683,             0.92053,             0.84848,              0.9143,             0.60692,            0.024598,            0.012962,           0.0046372,            0.008218,            0.008218,            0.008218
                  56,            0.032956,            0.019294,            0.006002,             0.92047,             0.84867,             0.91393,             0.60647,            0.024588,             0.01296,           0.0046331,            0.008185,            0.008185,            0.008185
                  57,            0.032755,            0.019158,           0.0060051,             0.91971,             0.84973,             0.91404,             0.60684,            0.024574,            0.012955,            0.004627,            0.008152,            0.008152,            0.008152
                  58,              0.0328,             0.01924,           0.0059928,             0.91967,             0.84949,             0.91412,             0.60697,            0.024561,             0.01295,           0.0046232,            0.008119,            0.008119,            0.008119
                  59,            0.032809,            0.019205,           0.0059854,             0.92066,             0.84902,             0.91413,             0.60736,             0.02455,            0.012947,           0.0046174,            0.008086,            0.008086,            0.008086
                  60,            0.032755,            0.019221,            0.005933,             0.92048,             0.85046,             0.91416,             0.60761,            0.024543,            0.012943,           0.0046204,            0.008053,            0.008053,            0.008053
                  61,            0.032746,            0.019175,           0.0059838,             0.92103,             0.85002,             0.91412,             0.60767,            0.024534,            0.012937,           0.0046178,             0.00802,             0.00802,             0.00802
                  62,            0.032747,            0.019251,           0.0059808,             0.92042,             0.85123,             0.91429,             0.60783,            0.024529,            0.012934,            0.004617,            0.007987,            0.007987,            0.007987
                  63,            0.032631,             0.01921,           0.0058558,              0.9199,               0.851,             0.91416,             0.60782,            0.024523,            0.012929,           0.0046241,            0.007954,            0.007954,            0.007954
                  64,             0.03277,            0.019135,           0.0059454,             0.91983,             0.85113,             0.91421,             0.60804,            0.024523,            0.012926,             0.00463,            0.007921,            0.007921,            0.007921
                  65,            0.032714,            0.019139,            0.005878,             0.91932,             0.85134,             0.91438,             0.60779,            0.024518,            0.012923,           0.0046406,            0.007888,            0.007888,            0.007888
                  66,            0.032563,            0.019295,           0.0058521,             0.91917,             0.85191,             0.91434,             0.60784,            0.024513,            0.012919,           0.0046538,            0.007855,            0.007855,            0.007855
                  67,            0.032682,             0.01912,           0.0058703,             0.91938,             0.85094,             0.91439,             0.60803,            0.024505,            0.012912,           0.0046694,            0.007822,            0.007822,            0.007822
                  68,            0.032597,            0.019271,           0.0058559,             0.91898,             0.85072,             0.91424,             0.60823,            0.024499,            0.012907,            0.004679,            0.007789,            0.007789,            0.007789
                  69,            0.032505,            0.019042,           0.0058601,             0.92009,             0.85036,             0.91442,             0.60828,            0.024492,            0.012903,           0.0046926,            0.007756,            0.007756,            0.007756
                  70,            0.032454,            0.019132,           0.0058595,             0.92077,             0.84989,             0.91448,             0.60848,            0.024483,            0.012899,            0.004711,            0.007723,            0.007723,            0.007723
